id,text,sourcePassage,sourceDoc,sourceSection,sourceRef,stakeholderType,abstractionLevel,ambiguityFlag
REQ-011,A controller SHALL be able to initiate a REC-alert.,A controller shall be able to initiate a REC-alert.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.1,Standards body,low,no
REQ-012,A driver SHALL be able to initiate a REC-alert.,A driver shall be able to initiate a REC-alert.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.2,Standards body,low,no
REQ-013,A controller SHALL be able to initiate a REC-alert by selecting one addressed area.,A controller shall be able to initiate a REC-alert by selecting one addressed area.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.4,Standards body,low,no
REQ-014,A controller SHALL be able to initiate a REC-alert by selecting several addressed areas.,A controller shall be able to initiate a REC-alert by selecting several addressed areas.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.4a,Standards body,low,no
REQ-015,"When a controller initiates a REC-alert by selecting several addressed areas, the resulting addressed area SHALL be the union of the selected addressed areas.","When a controller initiates a REC-alert by selecting several addressed areas, the resulting addressed area shall be the union of the selected addressed areas.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.4i,Standards body,low,no
REQ-016,A controller SHALL be able to initiate a REC-alert by selecting one initiating area.,A controller shall be able to initiate a REC-alert by selecting one initiating area.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.5,Standards body,low,no
REQ-017,A controller SHALL be able to initiate a REC-alert by providing a specific train functional identity.,A controller shall be able to initiate a REC-alert by providing a specific train functional identity.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.5ii,Standards body,low,no
REQ-019,The addressed area SHALL be based on the initiating area where the train is located when a controller initiates a REC-alert by providing a specific train functional identity.,"When a controller initiates a REC-alert by providing a specific train functional identity, the addressed area shall be based on the initiating area where this train is located. (M-V3)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M-V3,Standards body,mid,no
REQ-020,"A controller SHALL be able to initiate a REC-alert by manually defining the addressed area (e.g., by drawing an addressed area on a map or by selecting track sections with start and end location).",A controller should be able to initiate a REC-alert by manually defining the addressed area (e.g. by drawing an addressed area on a map or by selecting track sections with start and end location). (O-V3),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,O-V3,Standards body,mid,no
REQ-021,"When a controller initiates a REC-alert by manually defining the addressed area, the addressed controllers SHALL be all the controllers associated with the predefined addressed areas fully or partially included in the manually defined area.","When a controller initiates a REC-alert by manually defining the addressed area, the addressed controllers shall be all the controllers associated to the predefined addressed areas fully or partially included in the manually defined area. (M-V3)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M-V3,Standards body,mid,no
REQ-022,"For a driver-initiated REC-alert, the geographical position of the train SHALL be used to retrieve the initiating area.","For a driver initiated REC-alert, the geographical position of the train shall be used to retrieve the initiating area. (M)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M,Standards body,mid,no
REQ-023,"For a driver-initiated REC-alert, the user’s geographical position SHALL be the front of the train.","For a driver initiated REC-alert, the user’s geographical position shall be the front of the train. (M-Vx)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M-Vx,Standards body,mid,no
REQ-024,The REC-alert SHALL address drivers for which the train is located inside the addressed area.,The REC-alert shall address the following users: a) Drivers for which the train is located inside the addressed area; (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M,Standards body,mid,no
REQ-025,The REC-alert SHALL address predefined controllers for the addressed area by its functional identity.,c) Predefined controller(s) for the addressed area by its functional identity. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M,Standards body,mid,no
REQ-026,The REC-alert SHALL address other users which are located inside the addressed area and for which the function label matches criteria set by the infrastructure manager.,d) Other users which are located inside the addressed area and for which the function label matches criteria set by the infrastructure manager. (M-V3),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M-V3,Standards body,mid,no
REQ-027,"If the driver has not yet registered to the train identity, the driver SHALL be addressed using a vehicle identity including driver function label.","If the driver has not yet registered to the train identity, the driver shall be addressed using a vehicle identity including driver function label. (M)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M,Standards body,mid,no
REQ-028,The REC-alert SHALL address the driver for which the front of the train geographical position is located inside the addressed area.,The REC-alert shall address the driver for which the front of the train geographical position is located inside the addressed area. (M-Vx),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M-Vx,Standards body,mid,no
REQ-029,"The addressing of the REC-alert SHALL allow excluding eligible users based on one or a combination of conditions: train route setting, direction, speed.",The addressing of the REC-alert should allow to exclude eligible users based on one or a combination of the following conditions: (O-Vx) a) Train route setting; b) Direction; c) Speed.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,O-Vx,Standards body,mid,no
REQ-030,"After the initiation phase, the initiator of the REC-alert SHALL be considered also as an addressed user.","After the initiation phase, the initiator of the REC-alert shall be considered also as an addressed user. (M)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,M,Standards body,mid,no
REQ-031,"It SHALL be possible to include additional information (e.g., text, voice prompts) at setup of the REC-alert that are permanently presented to the recipients.","It shall be possible to include at setup of the REC-alert additional information (e.g. text, voice prompts) that are permanently presented to the rec",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,yes
REQ-033,The system SHALL allow changing additional information during an ongoing REC-alert that is permanently presented to the recipients.,"10.11.2.9i It shall be possible during an ongoing REC-alert to change the additional information (e.g. text, voice prompts) that are permanently presented to the recipients. (M-Vx)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.9i,Standards body,mid,no
REQ-034,The system SHALL allow adding additional information during an ongoing REC-alert if no additional information was inserted at setup.,"10.11.2.9ii It shall be possible during an ongoing REC-alert, if no additional information was inserted at setup, to add the additional information (e.g. text, voice prompts) that are permanently presented to the recipients. (M-Vx)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.9ii,Standards body,mid,no
REQ-035,The system SHALL allow a controller to change the addressed area(s) during an ongoing REC-alert.,10.11.2.10 It should be possible for a controller to change the addressed area(s) during an ongoing REC-alert. (O-Vx),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.10,Standards body,mid,no
REQ-036,The FRMCS system SHALL monitor user eligibility to participate in the REC-alert and adapt the recipients accordingly.,10.11.2.11 The FRMCS system shall monitor the users eligibility to participate in the REC-alert and adapt the recipients accordingly. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.11,Standards body,high,no
REQ-037,The ongoing REC-alert SHALL be permanently indicated to the recipients.,10.11.2.14 The ongoing REC-alert shall be permanently indicated to the recipients. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.14,Standards body,mid,no
REQ-038,An addressed user no longer eligible for the ongoing REC-alert SHALL be informed and disconnected from the REC-alert.,10.11.2.15 An addressed user no longer eligible for the ongoing REC-alert shall be informed and disconnected from the REC-alert. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.15,Standards body,mid,no
REQ-039,"As long as the REC-alert is ongoing, the controller SHALL be informed about the relevant identity of the recipients currently addressed by a REC-alert.","10.11.2.16 As long as the REC-alert is ongoing, the controller shall be informed about the relevant identity of the recipients currently addressed by a REC-alert. (M)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.16,Standards body,mid,no
REQ-040,The controller SHALL be informed about the relevant identity of the users no longer addressed by the REC-alert.,10.11.2.19i The controller shall be informed about the relevant identity of the users no longer addressed by the REC-alert. (M-Vx),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.19i,Standards body,low,no
REQ-041,A driver already addressed by a REC-alert SHALL be able to initiate another REC-alert.,10.11.2.20 A driver already addressed by a REC-alert shall be able to initiate another REC-alert. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.20,Standards body,mid,no
REQ-042,A controller already addressed by a REC-alert SHALL be able to initiate another REC-alert.,10.11.2.22 A controller already addressed by REC-alert shall be able to initiate another REC-alert. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22,Standards body,mid,no
REQ-043,The system SHALL allow a controller to merge two ongoing REC-alerts.,10.11.2.22i It shall be possible for a controller to merge two ongoing REC-alerts. (M-Vx),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22i,Standards body,mid,no
REQ-044,"After merging two REC-alerts, the addressed users of the resulting REC-alert SHALL be the union of users that would have been addressed by each of the initial REC-alerts.","10.11.2.22ii After merging of two REC-alerts, the addressed users of the resulting REC-alert shall be the union of users that would have been addressed by each of the initial REC-alerts. (M-Vx)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22ii,Standards body,low,no
REQ-045,A driver SHALL not be allowed to leave a REC-alert.,10.11.2.22iii A driver shall not be allowed to leave a REC-alert. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22iii,Standards body,low,no
REQ-046,"If the initiating driver is moving outside the addressed area of the REC-alert, the ongoing REC-alert SHALL not be terminated.","10.11.2.22iv In the case the initiating driver is moving outside the addressed area of the REC-alert, the ongoing REC-alert shall not be terminated. (M)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22iv,Standards body,mid,no
REQ-047,"When the initiating driver moves outside the addressed area of the REC-alert, the initiating driver SHALL be disconnected and no longer addressed by this REC-alert.","10.11.2.22v When the initiating driver is moving outside the addressed area of the REC-alert, the initiating driver shall be disconnected and no more be addressed by this REC-alert. (M)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22v,Standards body,mid,no
REQ-048,An authorised controller SHALL be allowed to leave the REC-alert.,10.11.2.22vi An authorised controller shall be allowed to leave the REC-alert. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22vi,Standards body,low,no
REQ-049,A controller SHALL be able to re-join an ongoing REC-alert that the controller has previously left.,10.11.2.22vii A controller shall be able to re-join an ongoing REC-alert that the controller has previously left. (M-V3),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22vii,Standards body,mid,no
REQ-050,An authorised controller SHALL be able to terminate the REC-alert.,10.11.2.22viii An authorised controller shall be able to terminate the REC-alert. (M),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22viii,Standards body,low,no
REQ-051,The initiating driver SHALL be able to terminate the REC-alert if allowed by configuration.,"10.11.2.22ix The initiating driver shall be able to terminate the REC-alert, if allowed by configuration. (M-V3)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.22ix,Standards body,low,no
REQ-053,"The FRMCS system SHALL support the presentation of additional information (e.g. text, voice prompts) to the addressed users upon termination of the REC-alert.","The FRMCS system shall support the presentation of additional information (e.g. text, voice prompts) to the addressed users upon termination of the REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.23,Standards body,mid,no
REQ-054,The FRMCS system SHALL support an IM system administrator to predefine whether a REC-alert initiated by a driver is associated to a REC-voice or REC-data.,The FRMCS system shall support an IM system administrator to predefine whether a REC-alert initiated by a driver is associated to a REC-voice or REC-data.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.23i,Standards body,mid,no
REQ-055,The FRMCS system SHALL support an IM system administrator to predefine whether a REC-alert initiated by a controller is associated to a REC-voice or REC-data.,The FRMCS system shall support an IM system administrator to predefine whether a REC-alert initiated by a controller is associated to a REC-voice or REC-data.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.23ii,Standards body,mid,no
REQ-056,"The FRMCS system SHALL support to predefine if a REC-voice SHALL be initiated for a given initiating function label, with the outcome being that REC-voice is set up automatically upon initiation of the REC-alert or no REC-voice is set up.","The FRMCS system shall support to predefine if a REC-voice shall be initiated for a given initiating function label, the outcome being the following: a) REC-voice is set up automatically upon initiation of the REC-alert; b) No REC-voice set up automatically upon initiation of the REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.24,Standards body,mid,no
REQ-057,"The FRMCS system SHALL support to predefine if a REC-voice SHALL be initiated for a given initiating area, with the outcome being that REC-voice is set up automatically upon initiation of the REC-alert or no REC-voice is set up.","The FRMCS system shall support to predefine if a REC-voice shall be initiated for a given initiating area, the outcome being the following: a) REC-voice is set up automatically upon initiation of the REC-alert; b) No REC-voice set up automatically upon initiation of the REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.25,Standards body,mid,no
REQ-058,The FRMCS system SHALL ensure that using function label and initiating area to determine if a REC-voice has to be automatically initiated upon REC-alert initiation leads to a predictable outcome.,"In the case of using function label and initiating area to determine if a REC-voice has to be automatically initiated upon REC-alert initiation, the FRMCS system shall ensure that the configuration leads to a predictable outcome.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26,Standards body,mid,no
REQ-059,A driver addressed by a REC-alert with no ongoing associated REC-voice SHALL be able to initiate a REC-voice associated to this REC-alert.,A driver addressed by a REC-alert with no ongoing associated REC-voice shall be able to initiate a REC-voice associated to this REC-alert.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26i,Standards body,mid,no
REQ-060,"A controller addressed by a REC-alert with no ongoing associated REC-voice SHALL, when authorised, be able to initiate a REC-voice associated to this REC-alert.","A controller addressed by a REC-alert with no ongoing associated REC-voice shall, when authorised, be able to initiate a REC-voice associated to this REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26ii,Standards body,mid,no
REQ-061,"Upon initiation of a REC-voice, the user(s) addressed by the REC-voice SHALL be those addressed by the associated REC-alert.","Upon initiation of a REC-voice, the user(s) addressed by the REC-voice shall be those addressed by the associated REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26iii,Standards body,mid,no
REQ-062,"As soon as a user is addressed by a REC-alert with an ongoing REC-voice, this user SHALL also be addressed by the associated REC-voice.","As soon as a user is addressed by a REC-alert with an ongoing REC-voice, this user shall also be addressed by the associated REC-voice.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26iv,Standards body,mid,no
REQ-063,"As long as a user is addressed by a REC-alert with an ongoing REC-voice, this user SHALL also be addressed by the associated REC-voice.","As long as a user is addressed by a REC-alert with an ongoing REC-voice, this user shall also be addressed by the associated REC-voice.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26v,Standards body,mid,no
REQ-064,"When a user is no longer eligible for receiving the REC-alert, and there is an ongoing associated REC-voice communication, the FRMCS system SHALL support to predefine whether the REC-voice remains connected to this user or is no more addressed to this user.","When a user is no longer eligible for receiving the REC-alert, and there is an ongoing associated REC-voice communication, the FRMCS system shall support to predefine whether: a) REC-voice remains connected to this user; b) REC-voice is no more addressed to this user.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26vi,Standards body,mid,no
REQ-065,"In the case of merging two REC-alerts, the associated active REC-voice communications SHALL also be merged.","In the case of merging two REC-alerts, the associated active REC-voice communications shall also be merged.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26vii,Standards body,mid,no
REQ-066,"A driver SHALL be able to leave a REC-voice, if allowed by configuration.","A driver shall be able to leave a REC-voice, if allowed by configuration.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26viii,Standards body,mid,no
REQ-067,An authorised controller SHALL be allowed to leave the REC-voice.,An authorised controller shall be allowed to leave the REC-voice.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26ix,Standards body,mid,no
REQ-069,The initiating driver of a REC-voice SHALL be able to terminate this REC-voice.,10.11.2.26x The initiating driver of a REC-voice shall be able to terminate this REC-voice.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.26x,Standards body,mid,no
REQ-070,The FRMCS system SHALL support an IM system administrator to predefine for each function label and per initiating area if a REC-data is set up automatically upon initiation of the REC-alert.,"10.11.2.27 The FRMCS system shall support an IM system administrator to predefine for each function label and per initiating area, if a REC-data is set up automatically upon initiation of the REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.27,Standards body,mid,no
REQ-071,"During an ongoing REC-alert with no ongoing REC-data, a driver SHALL be able to initiate a REC-data associated to the REC-alert.","10.11.2.28 During an ongoing REC-alert with no ongoing REC-data, a driver shall be able to initiate a REC-data associated to the REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.28,Standards body,mid,no
REQ-072,"During an ongoing REC-alert with no ongoing REC-data, an authorised controller SHALL be able to initiate a REC-data associated to the REC-alert.","10.11.2.28i During an ongoing REC-alert with no ongoing REC-data, an authorised controller shall be able to initiate a REC-data associated to the REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.28i,Standards body,mid,no
REQ-073,"Upon initiation of the REC-data, the users addressed by the REC-data SHALL be those addressed by the associated REC-alert.","10.11.2.29i Upon initiation of the REC-data, the user(s) addressed by the REC-data shall be those addressed by the associated REC-alert.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.29i,Standards body,mid,no
REQ-074,"As soon as a user is addressed by a REC-alert with an ongoing REC-data, this user SHALL also be addressed by the associated REC-data.","10.11.2.29ii As soon as a user is addressed by a REC-alert with an ongoing REC-data, this user shall also be addressed by the associated REC-data.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.29ii,Standards body,mid,no
REQ-075,"As long as a user is addressed by a REC-alert with an ongoing REC-data, this user SHALL also be addressed by the associated REC-data.","10.11.2.29iii As long as a user is addressed by a REC-alert with an ongoing REC-data, this user shall also be addressed by the associated REC-data.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.29iii,Standards body,mid,no
REQ-076,"When the user is no longer eligible for receiving the REC-alert, and there is an ongoing associated REC-data communication, the FRMCS system SHALL support to predefine whether REC-data remains connected or is no more addressed to this user.","10.11.2.30 When the user is no longer eligible for receiving the REC-alert, and there is an ongoing associated REC-data communication, the FRMCS system shall support to predefine whether. a) REC-data remains connected to this user; b) REC-data is no more addressed to this user.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.30,Standards body,mid,no
REQ-077,"When a REC-voice is active and upon termination of the associated REC-alert, the FRMCS system SHALL predefine for a given initiating area whether REC-voice communication remains active or is terminated.","10.11.2.31 When a REC-voice is active and upon termination of the associated REC-alert, the FRMCS system shall predefine for a given initiating area the outcome being one of the following: a) REC-voice communication remains active; b) REC-voice communication is terminated.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.31,Standards body,mid,no
REQ-078,"When a REC-alert is active and upon termination of the associated REC-voice, the FRMCS system SHALL predefine for a given initiating area whether REC-alert communication remains active or is terminated.","10.11.2.31i When a REC-alert is active and upon termination of the associated REC-voice, the FRMCS system shall predefine for a given initiating area the outcome being one of the following: a) REC-alert communication remains active; b) REC-alert communication is terminated.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.31i,Standards body,mid,no
REQ-079,"When a REC-voice is active and upon termination of the associated REC-alert, the FRMCS system SHALL predefine for a given function label whether REC-alert communication remains active or is terminated.","10.11.2.31ii When a REC-voice is active and upon termination of the associated REC-alert, the FRMCS system shall predefine for a given function label the outcome being one of the following: a) REC-alert communication remains active; b) REC-alert communication is terminated.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.31ii,Standards body,mid,no
REQ-080,"When a REC-alert is active and upon termination of the associated REC-voice, the FRMCS system SHALL predefine for a given function label whether REC-alert communication remains active or is terminated.","10.11.2.31iii When a REC-alert is active and upon termination of the associated REC-voice, the FRMCS system shall predefine for a given function label the outcome being one of the following: a) REC-alert communication remains active; b) REC-alert communication is terminated.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.31iii,Standards body,mid,no
REQ-081,"When a REC-data is active and upon termination of the associated REC-alert, the FRMCS system SHALL predefine whether REC-data communication remains active or is terminated.","10.11.2.32 When a REC-data is active and upon termination of the associated REC-alert, the FRMCS system shall predefine the outcome being one of the following: a) REC-data communication remains active; b) REC-data communication is terminated.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.32,Standards body,mid,no
REQ-082,A REC-alert SHALL be recorded including its related metadata.,10.11.2.33 A REC-alert shall be recorded including its related metadata. (M-V3),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.33,Standards body,mid,no
REQ-083,REC-voice communication content SHALL be recorded when a REC-voice is active.,"10.11.2.34 When a REC-voice is active, the following shall be recorded. a) REC-voice communication content; (M-V3)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.34,Standards body,mid,no
REQ-084,REC-voice communication related metadata SHALL be recorded when a REC-voice is active.,"10.11.2.34 When a REC-voice is active, the following shall be recorded. b) REC-voice communication related metadata. (M)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.34,Standards body,mid,no
REQ-085,The REC-data communication and its related metadata SHALL be recorded when a REC-data is active.,"10.11.2.35 When a REC-data is active, the REC-data communication and its related metadata shall be recorded. (M-Vx)",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.35,Standards body,mid,no
REQ-086,The FRMCS system SHALL support an IM system administrator to configure georeferenced polygons to define the initiating areas used for REC-alert.,10.11.2.36 The FRMCS system shall support an IM system administrator to configure georeferenced polygons to define the initiating areas used for REC-alert. (M-V3),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.36,Standards body,mid,no
REQ-087,The FRMCS system SHALL support an IM system administrator to configure georeferenced polyhedrons to define the initiating areas used for REC-alert.,10.11.2.37 The FRMCS system should support an IM system administrator to configure georeferenced polyhedrons to define the initiating areas used for REC-alert. (O-Vx),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.37,Standards body,mid,no
REQ-088,The FRMCS system SHALL support an IM system administrator to configure georeferenced polygons to define for each initiating area a corresponding addressed area user for REC-alert.,10.11.2.38i The FRMCS system shall support an IM system administrator to configure georeferenced polygons to define for each initiating area a corresponding addressed area user for REC-alert. (M-V3),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.38i,Standards body,mid,no
REQ-089,The FRMCS system SHALL support an IM system administrator to configure georeferenced polyhedrons to define for each initiating area a corresponding addressed area used for REC-alert.,10.11.2.39 The FRMCS system should support an IM system administrator to configure georeferenced polyhedrons to define for each initiating area a corresponding addressed area used for REC-alert. (O-Vx),FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,10.11.2.39,Standards body,mid,no
